На Водохреща «Черкасиводоканал» безкоштовно розливає свячену воду;В день святкування Водохреща «Черкасиводоканал» провів церемонію освячення води. Черкащани зможуть безкоштовно набрати свяченої води. Про це повідомляє   «Черкасиводоканал». «Слухаючи молитву, працівники підприємства молилися про здоров’я і добробут свої рідних та близьких. Ми віримо, що «заряджена» водичка має цілющі властивості і тому із задоволенням щороку пригощаємо мешканців міста «живою» водою», – повідомили в пресслужбі водоканалу. Набрати свяченої води в день Водохреща можна біля КП «Черкасиводоканал» орієнтовно з 10:00 до 14:00 години. Як повідомляла vikka.ua, Водохреще 2022: ;Черкасиводоканал#черкаські новини#новини черкаси#новости Черкассы#водоканал#свячена вода черкаси;https://www.vikka.ua/novini/na-vodoxreshha-cherkasivodokanal-bezkoshtovno-rozlivaye-svyachenu-vodu/
«Підрядник Тулуба» на Черкащині відремонтує дорогу за 30 млн;ТОВ «Черкасиміськбуд» стало переможцем тендеру на проведення капітального ремонту ділянки місцевої дороги в Золотоніському районі між селами Старий Коврай та Лящівка.  Ремонтуватимуть ділянку дороги в 5 км. Державному бюджету цей «апгрейд» обійдеться у майже 30 млн. грн. Під час ремонту замінять аварійне асфальтне покриття, облаштують узбіччя, встановлять дорожні знаки і нанесуть розмітку. Вартість ремонту 1 км дороги – 6 млн. грн. Переможцем торгів стало ТОВ «Черкасиміськбуд», яке належить відомому черкаському підприємцю Анатолію Бурському. Останнім часом підприємства із його орбіта ставали переможцями у тендерах на ремонт доріг, оголошених Службою місцевих автодоріг в Черкаській області. Так, «Черкасиміськбуд» ремонтуватиме дорогу  , місцеву автотрасу   Нині в «копілці» Бурського вже три тендери на загальну суму 172 млн. грн. Анатолія Бурського деякі черкаські ЗМІ називали «улюбленим підрядником» губернатора регіонала Тулуба. Адже саме за його правління найбільшу кількість тендерів вигравали підприємства, афільовані із Бурським. Як повідомляв сайт vikka.ua,     ;ремонт дороги#Чорнобай#новини Золотоноші#Бурський#Лящівка#Служба місцевих доріг;https://www.vikka.ua/novini/pidryadnik-tuluba-na-cherkashhini-vidremontuye-dorogu-za-30-mln/
19 січня: історичний дайджест, іменинники і прикмети;"Хрещення Господнє (Йордана, Водохреща, Богоявлення) День консервної банки Національний день попкорну в США 1419 – у ході Сторічної війни між Англією та Францією англійський король Генріх V оточив французьке місто Руан, що підсумувало завоювання Нормандії. 1655 – в Охматівській битві українські козаки розбили військо Речі Посполитої. 1825 – Езра Деггетт і його племінник Томас Кенсетт із Нью-Йорка запатентували спосіб консервування в бляшаних банках лосося, устриць і омарів. 1903 – оголошено проведення першої велогонки «Тур де Франс» – найпрестижнішого і найпопулярнішого спортивного велозмагання наших днів. 1906 – побачив світ перший номер першого українського сатиричного журналу «Шершень». 1907 – в журналі «Вар’єте» з’явилися перші рецензії на кінофільми. 1915 – француз Георг Клод отримав патент на неонову трубку, яку використовували для зовнішньої реклами. 1915 – німецькі дирижаблі здійснили перший бойовий наліт на Англію. 1920 – Сенат Сполучених Штатів проголосував проти вступу до Ліги Націй. 1925 – в Національній академії наук України постановили організувати Медичний відділ. 1938 – американська фірма «General Motors» перша у світі почала серійне виробництво дизельних двигунів. 1942 – Друга світова війна: японські сили вторглися в Бірму. 1945 – радянські війська взяли Лодзь та Краків. 1946 – створено Союз українців у Великій Британії. 1946 – створено Міжнародний військовий трибунал для Далекого Сходу. 1955 – президент США Ейзенхауер дозволив уперше показати по телебаченню (а також у кіножурналах новин) відзняту прес-конференцію. 33-хвилинна зустріч була скорочена до 28 з половиною хвилин, щоб задовольнити вимоги телевізійників. 1962 – СРСР звинуватив Ізраїль у використанні синагог для шпигунської діяльності. 1963 – «Бітлз» уперше з’явилися на британському телебаченні в передачі «Thank You Lucky Stars». Вони виконали пісню «Please Please Me». 1966 – Індіра Ганді стала третім прем’єр-міністром Індії. 1978 – у Німеччині випущено останній автомобіль «Фольксваген Жук» (продовжував випускатися в Мексиці до 2003). 1981 – Алжирські угоди вирішили кризу з американськими заручниками, захопленими 1979 року при штурмі посольства США в Тегерані. 1990 – після вірменських погромів у Баку й загибелі кількох десятків вірмен Верховна Рада СРСР ухвалила рішення про введення в столиці Азербайджану надзвичайного стану. 1992 – 99% учасників референдуму в Південній Осетії проголосували за відокремлення від Грузії. 1992 – у Києві почалася кампанія складення повторної присяги воїнами запасу на вірність Україні. 1993 – Ізраїль погодився вважати Організацію визволення Палестини легальною некримінальною організацією. 1995 – російські війська захопили президентську резиденцію Джохара Дудаєва в Грозному і вивісили над нею російський прапор. 2001 – Білл Клінтон скасував введені в 1999 році економічні санкції проти Югославії, після чого звернувся до американського народу з короткою прощальною промовою. 2001 – Юлія Тимошенко звільнена з посади віце-прем’єр-міністра України у зв’язку з притягненням її до кримінальної відповідальності. 2001 – у Бельгії дозволено вживання і зберігання марихуани. 2014 – у Києві на вулиці Грушевського розпочалось збройне повстання проти диктаторського режиму Януковича (Вогнехреща). 2017 – в Україні офіційно з’явилося Суспільне мовлення: зареєстрована Національна суспільна телерадіокомпанія України.   1200 – Доґен, японський буддистський монах і філософ, послідовник вчення дзен, засновник секти Сото-сю. 1670 – Бернард де Мандевіль англійський філософ, економіст, сатирик. 1723 – Дай Чжень, китайський філософ-неоконфуціанець, вчений. 1736 – Джеймс Ватт, шотландський винахідник, який створив паровий двигун. 1747 – Йоганн Елерт Боде, німецький астроном. 1756 – Гійом Антуан Олів’є, французький натураліст, ботанік та ентомолог. 1807 – Роберт Едвард Лі, американський військовий діяч, головнокомандувач Конфедеративної армії. 1809 – Едгар Аллан По, американський поет, прозаїк, критик, творець жанру «новели жаху», («Золотий жук», «Маска червоної смерті», «Чорний кіт»). 1839 – Поль Сезанн, французький художник-імпресіоніст («Сучасна Олімпія», «Долина»). 1887 – Іван Максимович Єремеєв, вчений-селекціонер, професор, колишній викладач Уманського аграрного університету. Похований в м. Умань. 1889 – Софі Тойбер-Арп, швейцарська художниця, дизайнер, скульптор та танцівниця. Працювала у таких напрямках як дадаїзм та абстракціонізм. Дружина художника і скульптора Ганса Арпа. 1891 – Омелян Сеник, український державник, військовий та політичний діяч, 9-й крайовий Командант УВО. 1894 – Марк Степанович Терещенко, актор і режисер, заслужений артист України, уродженець с. Ковалиха Смілянського району. 1898 – Густав Майрінк, австрійський письменник-експресіоніст, драматург, перекладач, банкір. Найбільш відомий за романом «Ґолем». 1909 – Іван Клим, повітовий провідник ОУН Долинщини, член Крайового Проводу ОУН Осередніх і Східних Земель. 1912 – Ярослав Стецько, український політичний та військовий діяч, активний діяч ОУН. в’язень німецьких концтаборів. Керівник Антибільшовицького блоку народів, голова Проводу ОУН-Б. 1921 – Патриція Гайсміт, американська письменниця (пенталогія про Тома Ріплі, «Незнайомці в потягу», «Ціна солі»). 1927 – Кардаш Петро, кінопостановник, видавець і громадський діяч української еміграції в Австралії; активіст ОУН. 1932 – Річард Лестер, американо-англійський кінорежисер («Три мушкетери», «Супермен» та два перших фільми за участю «Бітлз»). 1943 – Дженіс Джоплін, визнана королева блюзу й рок-н-ролу. 1945 – Род Еванс, англійський рок-співак, співзасновник гурту «Deep Purple». 1946 – Джуліан Барнс, англійський письменник, автор добутків «Метроленд», «Як усе було», «Англія, Англія» 1947 – Лєшек Бальцерович, польський економіст і політик, організатор та натхненник польських економічних реформ. 1958 – Іван Іванович Сухий, заслужений працівник культури України, художній керівник Жашківського зразкового дитячого ансамблю гармоністів. 1966 – Стефан Едберг, шведський тенісист, шестиразовий переможець турнірів Великого шолома. 1969 – Предраг Міятович, югославський футболіст чорногорського походження, зараз – спортивний директор мадридського «Реала». 1972 – Сергій Міхалок, лідер білоруської групи «Ляпіс Трубецькой». 1980 – Дженсон Баттон, англійський автогонщик, пілот Формули-1.   1576 – Ганс Сакс, німецький поет, мейстерзінгер, драматург. 1833 – Герольд Фердінан (Луї-Жозеф-Фердінан Герольд), французький композитор, автор музики до балету «Марна обережність». Батько Герольда Фердинана (політика), дід письменника і поета-символіста Герольда Андре-Фердинана (Еро). 1871 – Анрі Реньо, французький художник, син французького хіміка і фізика Анрі Віктора Реньо. 1883 – Гійом (Віллем) Гефс, бельгійський скульптор; брат скульпторів Йозефа Гефса і Алоїзія Гефса, чоловік художниці Фанні Корр (Фанні Гефс). 1906 – Бартоломе Мітре, аргентинський політик. 1939 – Михайло Драй-Хмара, український поет, літературознавець, жертва сталінського терору. 1959 – Олександр Носалевич, український оперний співак (бас-баритон), соліст оперних театрів Львові, Відня, Вісбадена та інших європейських міст, популяризатор українських пісень, спонсор музичних і театральних гуртків Галичини. 1969 – Володимир Дукельський (Вернон Дюк), український та американський композитор, поет і літератор. Закінчив Київську консерваторію, де вчився у Б. Яворського і Р. Глієра. 2000 – Геді Ламар, австрійсько-американська акторка та винахідниця. 2008 – Тревор Тейлор, співак, музикант, музичний продюсер, автор пісень, один з лід-вокалістів гурту «Bad Boys Blue». 2013 – Тайхо Кокі, японський сумоїст українського походження, 48-й йокодзуна, прозваний «великим йокодзуною XX століття» 2019 – Омелян Коваль, український громадський діяч, член проводу Організації Українських Націоналістів), політв’язень Аушвіцу. Роман, Андрій, Лідія, Домінікія, Лаврентій, Марта, Іван, Михей, Марія, Опанас, Василь. – Ясна і холодна погода в цей день віщувала посушливе літо. – Якщо погода похмура і сніжна – буде багатий урожай. – Ранковий туман – до багатого врожаю хліба. – Якщо в цей день вдарили морози і потім стоять ще цілий тиждень – буде відлига. Конфуцій";день в історії#прикмети#хто народився#іменинники#хто помер#яке сьогодні свято#цитата#19 січня;https://www.vikka.ua/novini/19-sichnya-istorichnij-dajdzhest-imeninniki-i-prikmeti/
В Умані горіла автівка в гаражі;Горіла автівка в гаражі 19 січня близько першої години ночі в Умані. Про це інформує   Управління ДСНС України у Черкаській області. На місце події прибули рятувальники 14-ї Державної пожежно-рятувальної частини. Вони ліквідували пожежу. Завдяки оперативним діям бійців ДСНС вдалося запобігти знищенню вогнем автомобіля “Mitsubishi”, що знаходився всередині гаражу. За попередніми даними, причиною пожежі стало порушення правил пожежної безпеки при експлуатації печей. Як повідомляла vikka.ua, ;рятувальники#новини Черкащини#події Черкас#умань новини#горіла автівка;https://www.vikka.ua/novini/v-umani-gorila-avtivka-v-garazhi/
В одному з мікрорайонів Черкас сьогодні не буде світла;Про планові відключення електропостачання у Черкасах повідомляє «Нова Якість» з посиланням на ПАТ «Черкасиобленерго» Черкаська міська філія. Планові відключення електропостачання на 19.01.2022 р. до 17.00 години за адресою: Дахнівська 30, 32, 36, 38а 2 Українського фронту 1, 2/1, 2, 3, 4/1, 4, 5, 7, 8/1, 8, 9, 9/1, 10/2, 10, 11, 11/1, 12, 13, 15, 16, 17А, 18, 19, 21, 22/1, 22, 24, 26, 27, 28, 29, 31, 32-34, 32, 33, 35, 36, 36/2, 37, 38, 39, 40, 41/1, 41, 43, 44, 44/1, 45, 46/1, 46, 47, 48, 49, 50/1, 50/2, 50, 51, 52, 53, 55, 57, 59, 61, 63, 65, 67/1, 67, 69/1, 69, 71, 73, 75, 76, 77/1, 77, 79, 81, 83, 85-87, 87, 89, 91, 93, 95, 97, 99, 101, 105, 105/1, 107, 109, 111, 115, 117, 119, 153 І. Бойка 3, 3/1, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 14/1, 16, 17, 18, 19, 19/1, 20, 21, 22, 23, 25, 27, 29, 31, 33, 35, 37/1, 37, 39, 41, 43, 45, 47, 49, 51, 53, 55, 55а, 57/1, 57 Берегова Братів Савченків 1, 1/1, 2, 3, 4, 5/2, 5, 7 Василицька 13 С. Волкова 25 Глібова 1/2, 1, 3, 3/1, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18, 19  Горіхова 1, 2, 3/1, 3, 4, 5, 6, 7, 8/1, 8, 10, 11, 12, 13/1, 13, 14/2, 14, 14/1, 15, 16/1, 17, 18, 19, 20, 20/2, 21, 22, 23, 24, 25, 26, 27, 28, 29/1, 29, 30, 30/1, 31, 32/1, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 43/1, 44, 45, 46, 46/1, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58/1, 58, 59, 63, 63/1, 65, 67, 69, 71, 73, 75 Дахнівська Січ 1а Зарічна 3, 5, 9, 11, 13, 13/1, 15 Затишна 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 18/1, 19, 20, 21, 21/1, 22, 22/1, 23, 24, 25/1, 25, 26, 27, 28/1, 28, 29, 30, 31 Землевпорядна 17, 19, 40 Зоряна 4 Калинова 5, 6, 7, 8, 9, 10, 11, 12 Канівська 1, 3, 5, 7, 7/1 Карбишева 2/1, 3, 5А, 5, 8 Р. Кириченко 1, 3, 3/2, 4, 5, 7 Г. Коротєєва 1, 2, 3, 5, 6, 7, 8, 9, 10/1, 10, 11А, 11/1, 11, 13, 14, 15, 17, 18/1, 18, 19, 20/1, 20, 21, 23, 24, 25, 26, 27, 28, 28/2, 29/1, 29, 30, 31, 32, 34, 35/1, 35, 37 Лісова 1 Мальовнича 1, 2/1, 3, 4, 5, 6, 6/1, 7, 8, 9, 11, 12, 13, 14, 15, 17, 19, 20, 22 Набережна 1А, 1, 2А, 2, 3, 4, 5, 7, 9, 10, 11, 12, 13, 14, 15, 16, 18, 21, 22, 23, 24/1, 24, 26, 28, 30, 32, 34, 36, 40, 42, 42-44, 46, 48/1, 48, 52, 54, 56, 58, 60, 60/1, 62, 64/1, 64, 66, 68, 70, 72/1, 72, 74, 74А, 76/1, 76, 78, 80, 80/1, 80/2, 82, 82/1, 83/2, 84, 84/1, 86, 88/2, 88, 90, 92, 96, 98/1, 98, 100, 102, 104, 106, 108, 110, 112, 112/1, 114/1, 114, 116/3, 116, 118, 146, 148, 150, 152 Поліська 1А, 3, 5, 7, 9, 11, 13, 15, 17, 19 І. Піддубного 2, 3/1, 3, 4, 4/1, 5, 6/2, 6, 6/1, 7, 8, 9/2, 10, 12, 16 Г. Рибалко 1, 2, 3, 4, 6/1, 6, 9, 11, 12, 13/1, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27/1, 27/2, 27, 28, 29, 29/1, 30, 31, 32, 33, 34, 35, 35а, 36, 37, 38/1, 38, 42 Свидівоцька 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 12/1, 13, 14а, 14, 15/1, 15, 16/1, 16, 16/2, 17, 18, 19, 20 Сержанта Волкова 1, 1/3, 5, 5/1, 7, 9, 11, 13, 15, 17, 21, 23/1, 23, 25, 37, 56, 58, 60, 62, 64, 66, 68, 153, 155/1, 155, 157, 159/1, 159, 161 Сонячна 5, 7, 9, 11, 16/2, 16/1, 20 Ярмаркова 2, 2/1, 3, 4, 5, 6, 6/1, 7, 9, 11, 13, 15, 17 пров. Бабанського 2 пров. Гайдамацький 3, 4, 5, 6, 7, 8, 10, 11, 12, 15/1, 15, 17 пров. Спортивний 4, 6, 7, 8, 9, 10/1, 10, 11, 12, 13, 14, 15, 16, 16/1, 17, 18, 20 пров. Тихий 2/1, 6, 8, 10 Як повідомляла раніше vikka.ua, ;електропостачання#Дахнівка#черкаські новини#новини черкаси#відключення#світло;https://www.vikka.ua/novini/v-odnomu-z-mikrorajoniv-cherkas-sogodni-ne-bude-svitla/
У Черкасах підвищать стипендії членам сім’ї загиблих воїнів;  Читайте також: ;гроші#збільшення виплат#стипендії#воїни#документи;https://www.vikka.ua/novini/u-cherkasax-pidvishhat-stipendiyi-chlenam-simyi-zagiblix-voyiniv/
Що додати у філе, щоб воно було соковитим та смачним;Кулінар Анатолій Добровольський поділився секретами приготування курячого філе, завдяки чому воно буде соковитим, ніжним та м’яким. Про це йдеться на   OBOZREVATEL. Куряче філе – відмінний дієтичний, корисний продукт, з якого можна приготувати багато смачних страв, наприклад, відбивні, тефтелі, котлети, а також додавати в салати. Часто саме із цього продукту готують їжу дітям. Шеф-кухар радить готувати це м’ясо на вугіллі, а перед цим добре його посолити, поперчити й додати спеції та соус, відставити м’ясо на 1 годину маринуватися.   Перед подачею ще можна присипати зеленою подрібненою цибулею. Як повідомляла vikka.ua, ;рецепти#рецепти куряче філе#рецепти з курятини#рецепти м'ясо;https://www.vikka.ua/novini/shho-dodati-u-file-shhob-vono-bulo-sokovitim-ta-smachnim/
На підприємстві екснардепа з Черкащини загинули працівники;Двоє працівників загинули на підприємстві ТОВ АПК «МАІС» у селі Боровиця, Черкаського району. Їхні тіла виявили в морозильній камері. Підприємство займається вирощуванням зернових культур.  За інформацією роботодавця, електрика та охоронника підприємства виявили у холодильній камері без ознак життя. За словами речниці Поліції в Черкаській області Зої Вовк, повідомлення до поліції надійшло ще 16 січня близько 16 години. Двох працівників виявили в безкисневій камері, де зберігалися фрукти. «Маючи доступ до цих кімнат, вони зайшли до приміщення, щоб взяти яблук. Безкиснева камера наповнюється азотом, який, як відомо, під час дихання він не відчувається, але є отруйним для організму. Вже мертвими їх виявив механік. Наразі порушене кримінальне провадження. Проводиться перевірка», – зазначила Зоя Вовк. ТОВ АПК «МАІС» належить екс-депутату Верховної Ради України Сергію Терещуку. Він двічі був депутатом Верховної Ради, депутатом обласної ради, заступником голови Черкаської ОДА з питань АПК.;новини Черкас#новини Черкащини#трагічний випадок#загинули працівники#МАІС#Терещук#Аграрна партія;https://www.vikka.ua/novini/na-pidpriyemstvi-eksnardepa-z-cherkashhini-zaginuli-pracivniki/
Як бути ефективним на дистанційному навчанні – лайфхаки від черкаських експертів;Дистанційне навчання – однаково непростий виклик як для дітей, так і для вчителів та батьків. Як бути ефективним та добре сприймати інформацію навіть крізь екран? Про це кореспондентка сайту ВІККА розпитала у черкаських педагогів. Вже понад рік пандемія коронавірусу має колосальний вплив на навчальний процес. Перехід в «онлайн» став справжнім випробуванням для вчителів, школярів, а також батьків. Особливо останнім часом, адже через повідомлення про замінування шкіл у Черкасах, з 17 січня навчання  . Чимало проблем виникає зі сприйняттям інформації. Дітям важко зосередитися на екрані ноутбука, педагогам – утримати їхню увагу, а батькам часто доводиться самим ставати вчителем і пояснювати своїй дитині кілька разів матеріал. Звикнути до нових реалій непросто, але організувати ефективне навчання під час карантину – реально. Як зробити процес дистанційного навчання максимально ефективним для всіх його учасників? Розберемо кілька лайфхаків від досвідчених викладачів та репетиторів.   Суха та монотонна лекція не буде викликати інтерес, уроки треба розмежовувати, щоб дитина не засинала під час них. Звичайним базовим текстом у підручнику дітей зацікавити також складно. Нудну тему можна подати цікаво, показавши навчальні відео, малюнки, придумати навчальні ігри які привернуть увагу та зацікавлять дітей. Різні види завдань можна поділити на усну, письмову, колективну і самостійну частину, а найголовніше – самому бути зацікавленим у цьому. Наразі існує чимало способів для групового навчання, багато вчителів радять використовувати Google Meet. Сервіс простий у використанні. Можна скласти розклад наперед та закріпити єдине посилання до основних предметів. Учні знатимуть: ваші уроки доступні за цим лінком і не потрібно шукати щоразу новий. Ігри можуть багато чого – швидко розворушити і відновити ресурси, якщо діти втомилися, або, навпаки, заспокоїти. Ігри можуть також «включити» у дітей увагу та зосередженість. «Навчальні ігри, завдання на логіку для маленьких дітей – невід’ємна частина уроку, оскільки так вони розуміють, що навчання  це не нудна рутина. Вони стають зосередженими на завданні, тому що хочуть “подолати” його. Із старшими це важче, адже їх не зацікавити мультфільмом про науку, але я намагаюся знайти альтернативу та підготувати щось цікаве також і для них», –  поділилася  . Дитина сама захоче заходити на онлайн-заняття, оскільки воно для неї стане не уроком у школі, а “місцем”, де можна цікаво провести час, не боятися щось перепитати. Якщо ж підхід до дитини ви не знайшли, то тут навіть батьки не допоможуть. Дитина будь-яким способом буде уникати занять. «Також увага залежить від психологічного та фізичного стану учнів, треба завжди мати запасний план уроку та різні види вправ, або ж змінити тему уроку якщо психологічно діти не готові сприймати новий матеріал», – радить  , перекладач польської мови та колишня директорка школи іноземних мов «Hi School».   У початкових класах батькам важливо створити максимально доброзичливе поле довкола уроків. Дитина має право тестувати свої здібності, помилятися, не робити домашнє завдання — і дивитися, що з цього виходить. Допоможуть довірчі стосунки з батьками, які підтримають та допоможуть, яку б оцінку учень не приніс. Буває таке, що дитина могла відволіктись на уроці та пропустити якусь інформацію, спробуйте їй допомогти зрозуміти. Допомагайте вивчити правило, вірш, знайдіть в Інтернеті відео за темою, або просто подаруйте цікаву книжку. Мотивуйте не тим, що турбує вас, а тим, що близьке до дитини. В одного це конформістський настрій: не виявитися єдиним, хто не зробив уроків. В іншого розвинений дух змагання: зробити краще чи оригінальніше за інших. Пофантазуйте разом про «момент слави», якого варто прагнути. Якщо дитина боїться стресу, переконайте його, що домашня робота як репетиція контрольної, тільки мама поруч. Потренуєшся — і буде легко. Якщо учень має сильні пізнавальні інтереси, важливо додати до уроків щось цікаве. Так, доведеться попотіти, розшукуючи додаткову інформацію. Але це не складніше, ніж воювати, заганяючи дитину за зошити. Якщо є дослідницький настрій, то школяру хочеться отримати особистий досвід. Його турбуватиме, як застосувати ці знання у житті, навіщо вони. Покажіть або знайдіть відео на потрібну тему. Ще краще – запропонуйте самому пошукати його та обговорити з вами. Дитина не може всидіти весь день перед екраном і поглинати інформацію, обов’язково треба пройтися, подихати свіжим повітрям, щоб не перевтомлюватися. «В умовах дистанційного навчання, завжди існують дуже багато відволікаючих факторів. На практиці, я розумію, коли дитина починає втрачати інтерес до заняття, тому потрібно робити перериви між лекцією. Я ділюсь своїми історіями із життя, як правило захоплюю людину, яка мене слухає, іноді достаю музичний інструмент, що однозначно приковує увагу. Дуже часто застосовую жартівливу форму, щоб урок не здавався занадто нудним. Після цих всіх маніпуляцій через камеру, діти, як показує практика, чекають уроку знову», –  «Шпаргалки» насправді потрібні для того, щоб вони були завжди перед учнем та допомагав вивчити якусь складну інформацію. Але не радимо сподіватись на «шпаргалки» і списувати з них на контрольних. «Я завжди кажу, що ви вчите мову для себе, а не для результатів тесту. Навіть якщо учень списує і знає де саме знайти відповідь, якщо він написав ці шпаргалки і витратив на це час, я абсолютно не проти. Я все дізнаюсь під час говоріння, адже його – не спишеш» – поділилася  . Треба чітко окреслити чому важливо вивчати кожен предмет у школі. Якщо наявна мотивація – проблем під час навчання не виникне, а завдання вчителя – періодично нагадувати про неї. Богдан Черненко, викладач онлайн-школи SkyEng, прокоментував цей лайфхак так: «Увага тримається завдякі атмосфері, матеріалу, обговорення. У мене немає чіткого розподілу на «дитячий або дорослий» підхід, бо кожен з учнів вже розуміє, що і навіщо вчить». Як повідомляв сайт vikka.ua,;діти#освіта#вчителі#дистанційне навчання#лайфхаки;https://www.vikka.ua/novini/yak-buti-efektivnim-na-distancijnomu-navchanni-lajfxaki-vid-cherkaskix-ekspertiv/
